"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042391","regulation of membrane potential","105/1787","340/13739",0.308823529411765,2.37432930642878,9.92196778367681,2.27348632968145e-18,1.24496111413356e-14,1.24496111413356e-14,"NNT/GRIA1/MFN1/KCNA5/KCND3/RIMS1/SHANK1/UNC80/GRIA4/MEF2C/KCNC1/KCNMB2/CAV1/SCN9A/MYOC/P2RX3/CACNA1G/GRIK1/STX1B/BEGAIN/RIMS2/AKAP6/FGF12/GNA14/KCND2/SCN2B/NLGN1/GRIN3A/CLN3/CASQ2/KCNA1/SYT1/SLC25A27/SLC8A2/GRIA3/TBX5/RYR2/KCNIP2/KCNH3/CACNB2/PLN/HCN2/ATP1A2/KCNE1/NPAS4/SCN3A/GRIK5/KCNJ3/TRPA1/DCN/TAC1/CACNA2D1/PID1/LRRK2/SCN4A/KCNA2/ALB/CHRNA2/NRXN1/KCNN2/SCN2A/MAPT/NEDD4/SLC17A7/GRIN2A/FHL1/CAV3/TBX18/SCN4B/MPP2/KCNV1/SLC1A7/SLC4A4/ATP1B2/CACNA1H/GRIK4/DMD/GRIK3/POPDC2/SLC8A3/SOD2/CBLN1/FXYD1/CNGB1/ADCY10/RGS7BP/ELOVL4/SLC26A3/CD36/SLC24A4/UNC79/KCNE4/SCN5A/KCNJ9/KCNB1/GRID1/KCNK4/PTEN/RELN/CTNNA3/P2RX6/ADRB2/ANK2/NOS1/BEST2",105
"GO:0044057","regulation of system process","121/1787","431/13739",0.280742459396752,2.15843349169109,9.44837417773872,2.51273024337794e-17,6.13511559081379e-14,6.13511559081379e-14,"GRIA1/KCNA5/KCND3/NR4A3/RIMS1/SHANK1/UNC80/CACNA2D3/TNNI1/MYOCD/EGR2/KCNMB2/CAV1/CACNA1G/STX1B/ADRA1D/FGF10/ACE/LEP/OR51E2/RIMS2/TNNT3/CACNA2D2/AKAP6/FGF12/KLF4/KCND2/SCN2B/NLGN1/CNN1/HTR2A/IL6ST/CASQ2/KCNA1/SLC8A2/SOAT2/IGF1/TBX5/RYR2/KCNIP2/CACNB2/PLN/ATP1A2/KCNE1/PPARG/KCNJ3/TNNI3/TRPA1/TAC1/HSPB7/CACNA2D1/LRRK2/NPR1/TSHZ3/SVEP1/TACR2/SCN4A/ABCC9/ADRA2C/SPTBN4/CHRNA2/CACNB4/NRXN1/BDKRB2/KCNN2/ENPP7/OXTR/CORIN/ADIPOQ/ABCC8/JPH4/CRHBP/GRIN2A/CAV3/JAM2/FABP5/TBX18/SCN4B/AQP1/ATP1B2/CACNA1H/DMD/PER2/KCNJ12/POPDC2/PRKG1/CHGA/DES/TNNC1/PTGER3/SLC8A3/EDNRB/CBLN1/MYL3/HRH1/FXYD1/ADCY10/TNNI3K/PDE1C/DAB2/CAMK2B/GSTM2/ELOVL4/CYP19A1/EDN3/HRC/GNAI1/MAG/UNC79/MLIP/HRH2/KCNE4/SCN5A/PTEN/RELN/CTNNA3/ADRB2/ADRA2B/AGTR1/ANK2/NOS1",121
"GO:0003013","circulatory system process","129/1787","474/13739",0.272151898734177,2.09238664617172,9.3587030240517,3.36109327473363e-17,6.13511559081379e-14,6.13511559081379e-14,"P2RY1/SLC16A7/KCNA5/KCND3/TNNI1/F5/KCNMB2/CAV1/SCN9A/CACNA1G/FFAR3/ADRA1D/ACE/LEP/OR51E2/KL/SLC6A13/FGF12/KCND2/GCGR/SCN2B/HTR2A/UTS2B/CASQ2/SLC8A2/TBX5/RYR2/KCNIP2/CDH5/CACNB2/PLN/ATP1A2/KCNE1/CPA3/SLC5A3/PPARG/SCN3A/KCNJ3/TNNI3/SLC16A12/TRPA1/ENPEP/TAC1/HSPB7/CACNA2D1/KLK3/KLK1/NPR1/HBB/SVEP1/TACR2/SCN4A/CXCL12/ABCC9/ZEB2/ADRA2C/HTR1B/SPTBN4/BDKRB2/KCNN2/PTGS2/SLC22A3/PDE3A/OXTR/CORIN/SCN2A/ADIPOQ/CTSG/LEPR/SLC6A1/ABCC8/JPH4/TEK/KLK2/GAB1/ABCG2/PCSK5/SLC2A4/CAV3/SGCD/FABP5/TBX18/SCN4B/ACTC1/SLC4A4/SLIT2/ATP1B2/CACNA1H/DMD/PER2/KCNJ12/POPDC2/PRKG1/CHGA/DES/TNNC1/SLC8A3/SOD2/EDNRB/MYL3/HRH1/FXYD1/ADCY10/TNNI3K/ABCB1/PDE1C/CYP4F2/GSTM2/CLDN5/CD36/EDN3/SLC7A2/HRC/SLC7A3/PDE2A/UTS2R/AKAP12/HRH2/KCNE4/SCN5A/CMA1/CTNNA3/SLCO1C1/ADRB2/ADRA2B/AGTR1/MME/ANK2/NOS1",129
"GO:0003012","muscle system process","101/1787","394/13739",0.256345177664975,1.97085976269675,7.56047469256281,5.53210983021585e-12,5.048972238377e-09,5.048972238377e-09,"ASB2/P2RY1/TPM2/KCNA5/KCND3/NR4A3/CACNA2D3/TNNI1/MYOCD/MYH2/CAV1/SCN9A/MYOC/MYH4/CACNA1G/ACTA2/LEP/TNNT3/CACNA2D2/APBB1/AKAP6/FGF12/KLF4/KCND2/SCN2B/CNN1/HTR2A/UTRN/IL6ST/CASQ2/KCNA1/IGF1/RYR2/MB/KCNIP2/MYLK/CACNB2/PLN/ATP1A2/KCNE1/GNAO1/PPARG/MYOT/SCN3A/KCNJ3/TNNI3/TRPA1/TMOD1/CACNA2D1/GALR2/RPL3L/TACR2/SCN4A/ADRA2C/CACNB4/BDKRB2/KCNN2/OXTR/SCN2A/LMOD1/ACTA1/ABCC8/JPH4/MYOM2/CAV3/SCN4B/ACTC1/CACNA1H/DMD/KCNJ12/MEIS1/PRKG1/CHGA/DES/TNNC1/PTGER3/SLC8A3/EDNRB/MYL3/FXYD1/ADCY10/TNNI3K/CAMK2B/GSTM2/EDN3/HRC/GNAI1/TRIM72/IL1R1/MLIP/KCNE4/GATM/SCN5A/KLF15/MYH11/CTNNA3/P2RX6/ADRB2/ADRA2B/ANK2/NOS1",101
"GO:0010817","regulation of hormone levels","100/1787","391/13739",0.255754475703325,1.96631826619361,7.49556213753397,8.18262094091298e-12,6.40114746749135e-09,6.40114746749135e-09,"P2RY1/CYP2C8/TNFSF11/DPP4/KCNA5/OXCT1/DUOX2/GATA3/SRRM3/FAM3B/BMP2/ALDH1A1/HSD3B1/ADCY5/ASMT/FFAR3/RDH12/ACE/BMP5/LEP/RIMS2/CYP26A1/PTPRN2/CYP3A5/PTPRN/DHRS9/IL6ST/ADCYAP1/SLC30A8/GPLD1/CYB5R4/ADH1A/GCK/GNAO1/ADH6/CPA3/PPARG/CELA2A/TRPA1/ENPEP/TAC1/CACNA2D1/SNAP25/ALDH1A2/CYP2W1/DGAT2/RBP4/GHR/DIO3/DUOXA1/AKR1D1/MRGPRE/ADH1B/TACR2/GIPR/ADRA2C/HCAR2/TG/CORIN/CTSG/PCSK1/ABCC8/CRHBP/PCSK5/PCSK2/UGT1A8/WNT4/DOC2B/PDE8B/CACNA1H/PER2/IYD/CYP3A7/RDH16/TUBB1/CHGA/IL6/EDNRB/RAPGEF3/CES1/LIPE/DAB2/ADH4/TPO/CYP19A1/EDN3/UGT2B15/PLA2G3/BCHE/STC2/KCNB1/UGT1A6/GHRHR/CMA1/MYRIP/SULT1B1/SLCO1C1/AGTR1/MME/EGR1",100
"GO:0050911","detection of chemical stimulus involved in sensory perception of smell","22/1787","36/13739",0.611111111111111,4.69840825716595,8.59136186226489,1.75645755584438e-11,1.20229519697548e-08,1.20229519697548e-08,"OR2W3/OR2A1/OR51E2/OR52K2/OR1B1/OR52B6/OR11A1/OR9A2/OR1K1/OR2AE1/OR5C1/OR52D1/OR2L5/OR2H2/OR1L4/OR2L3/CNGB1/SLC24A4/OR2A2/OR5P2/OR51I1/OR5P3",22
"GO:0099177","regulation of trans-synaptic signaling","101/1787","408/13739",0.247549019607843,1.9032322218199,7.16146509551983,4.9912616220563e-11,2.73321486423803e-08,2.73321486423803e-08,"P2RY1/GRIA1/BDNF/NRGN/IGSF11/RIMS1/SHANK1/CRHR2/SLITRK5/NTNG1/CPLX2/GRIA4/PLCL1/PENK/EFNB3/MEF2C/GRM2/P2RX3/NRXN2/GRIK1/STX1B/CACNA1A/ACE/STXBP1/RIMS2/CX3CR1/GRM4/SYN3/NLGN1/GRIN3A/HTR2A/CLN3/ADAM22/SYT1/SLC8A2/GRIA3/IGF1/CLSTN2/BSN/ATP1A2/GNAO1/NRN1/NPAS4/GRIK5/PPFIA2/TAC1/CALB1/LRRK2/MICU3/TSHZ3/TACR2/CHRNA2/CACNB4/NRXN1/PRKAR2B/MAPT/NGF/ADIPOQ/MCTP1/ACHE/JPH4/PTN/WNT3A/GRIN2A/FAM107A/CLMP/SHISA9/FABP5/MPP2/LRRC4C/GRIK4/GRIK3/SLC8A3/CBLN1/SLC7A10/NTF4/OPHN1/CCL2/SHISA6/PLG/MAP1A/CBLN4/CHRDL1/DCC/CAMK2B/NGFR/ELOVL4/NTRK1/CNTN4/AKAP12/BCHE/ARC/HOMER1/UNC13A/NTRK2/KCNB1/GRID1/PTEN/RELN/ADRB2/MME",101
"GO:0007188","adenylate cyclase-modulating G protein-coupled receptor signaling pathway","61/1787","203/13739",0.300492610837438,2.31027866832432,7.27227438868289,1.14515626932773e-10,4.82375056218356e-08,4.82375056218356e-08,"P2RY1/ADCYAP1R1/PTHLH/CRHR2/GNAL/NPY1R/PTH1R/GRM2/ADCY5/FFAR3/ADRA1D/OR51E2/RIMS2/GRM4/ITGB3/AKAP6/GNA14/PALM/GCGR/GPR62/ADCYAP1/GNAO1/P2RY12/TAC1/GALR2/MRGPRE/CNR1/HCAR3/PTGFR/LPAR1/TACR2/GIPR/ADRA2C/HTR1B/PSAPL1/NRXN1/PRKAR2B/PDE3A/MRAP2/UCN2/CHRM5/VIPR2/TRH/GRIK3/CHGA/PTGER3/GNG2/PTH2R/ADCY10/RAPGEF3/GPBAR1/GNAI1/PDE2A/MCHR1/AKAP12/HRH2/GHRHR/GPR61/ADRB2/ADRA2B/NOS1",61
"GO:0007608","sensory perception of smell","26/1787","53/13739",0.490566037735849,3.77162103662721,7.81694859456365,2.20195220511228e-10,7.53618142199677e-08,7.53618142199677e-08,"OR2W3/GNAL/OR2A1/OR51E2/OR52K2/OR1B1/OR52B6/OR11A1/NXNL2/OR9A2/OR1K1/OR2AE1/OR5C1/OR52D1/OR2L5/OR2H2/OR1L4/OR2L3/CNGB1/UGT2A1/SLC24A4/OR2A2/OR5P2/OR51I1/OR5P3/BEST2",26
"GO:0007610","behavior","81/1787","322/13739",0.251552795031056,1.93401446610614,6.55779095919865,1.89198071486926e-09,5.45288757611792e-07,5.45288757611792e-07,"P2RY1/GRIA1/NRGN/NR4A3/SHANK1/NPY1R/PENK/MEF2C/FOS/PTGDS/GRM2/NRXN2/HPGDS/LEP/CX3CR1/KCND2/FOXP2/BLOC1S6/NLGN1/HTR2A/CLN3/CNTN1/SLC8A2/CLSTN2/PLN/ATP1A2/GRPR/NPAS4/SCN3A/TAC1/CALB1/OTOP1/FOSB/GALR2/CNTN2/LRRK2/GFRAL/TACR2/CXCL12/KCNA2/HTR1B/NRXN1/MRAP2/SCN2A/TMBIM4/MAPT/LEPR/SLC6A1/ABCC8/PTN/CRHBP/GRIN2A/HOXA1/SLC2A4/ATP1B2/SLC8A3/USP2/EDNRB/NTF4/RAPGEF3/MAP1A/PTPRZ1/CLDN5/SLC24A4/NTRK1/GNAI1/MCHR1/BCHE/GATM/MUSK/ARC/NTRK2/GRID1/HCRTR1/GHRHR/KCNK4/PTEN/RELN/SNCA/MME/EGR1",81
"GO:0086009","membrane repolarization","23/1787","47/13739",0.48936170212766,3.76236173784662,7.33499418084196,2.58184912903033e-09,6.73247896693813e-07,6.73247896693813e-07,"KCNA5/KCND3/CAV1/AKAP6/KCND2/SCN2B/CASQ2/KCNA1/KCNIP2/ATP1A2/KCNE1/KCNJ3/CACNA2D1/KCNN2/CAV3/SCN4B/ATP1B2/ADCY10/SLC24A4/KCNE4/SCN5A/ANK2/NOS1",23
"GO:0006813","potassium ion transport","53/1787","178/13739",0.297752808988764,2.289214237659,6.69411203028392,2.7055596176482e-09,6.7343838482916e-07,6.7343838482916e-07,"KCNA5/KCND3/KCNC1/KCNMB2/CAV1/KCNIP4/KCNJ16/AMIGO1/AKAP6/KCND2/FXYD2/HTR2A/CASQ2/KCNA1/KCNIP2/KCNH3/HCN2/ATP1A2/KCNE1/KCNT1/KCNJ3/SNAP25/KCNJ15/SLC24A5/ABCC9/KCNA2/DPP6/KCNN2/NEDD4/SLC17A7/ABCC8/FHL1/CAV3/KCNV1/AQP1/KCNK7/ATP1B2/SLC12A1/DPP10/SLC12A3/KCNJ12/FXYD1/CNGB1/SLC9A4/SLC24A4/KCNE4/KCNJ9/KCNB1/KCNT2/KCNAB1/KCNK4/ANK2/NOS1",53
"GO:0009593","detection of chemical stimulus","35/1787","95/13739",0.368421052631579,2.83253320766943,6.93021232622311,3.13826441616458e-09,7.47179823605097e-07,7.47179823605097e-07,"OR2W3/KCNMB2/PIGR/OR2A1/OR51E2/TLR9/CASQ2/OR52K2/SYT1/OR1B1/RYR2/OR52B6/CYB5R4/KCNIP2/CALML3/TRPA1/OR11A1/OR9A2/OR1K1/OR2AE1/OR5C1/OR52D1/OR2L5/OR2H2/OR1L4/OR2L3/CNGB1/SLC24A4/NR4A1/CA6/TAS1R1/OR2A2/OR5P2/OR51I1/OR5P3",35
"GO:0071805","potassium ion transmembrane transport","49/1787","163/13739",0.300613496932515,2.31120807742352,6.51153296493421,7.54888822132966e-09,1.65350847600005e-06,1.65350847600005e-06,"KCNA5/KCND3/KCNC1/KCNMB2/CAV1/KCNIP4/KCNJ16/AMIGO1/AKAP6/KCND2/FXYD2/KCNA1/KCNIP2/KCNH3/HCN2/ATP1A2/KCNE1/KCNT1/KCNJ3/SNAP25/KCNJ15/SLC24A5/ABCC9/KCNA2/DPP6/KCNN2/NEDD4/SLC17A7/ABCC8/FHL1/CAV3/KCNV1/AQP1/KCNK7/ATP1B2/SLC12A1/DPP10/SLC12A3/KCNJ12/FXYD1/SLC9A4/SLC24A4/KCNE4/KCNJ9/KCNB1/KCNT2/KCNAB1/KCNK4/ANK2",49
